,"CLSS ID","SIS ID","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Wait Total","Rm Cap Request","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Rm Cap Request","Link To","Comments","Notes#1","Notes#2"
,"3510","15486","Fall 2023","1238","UNO-BIOI","BIOI","4510","BIOI 4510","850","BIOINFORMATICS INTERNSHIP","","Internship","","Does Not Meet","Does Not Meet","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","Totally Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","Department Consent Required","1","3","Graded","Open Nebraska: No Cost Materials; Online: Totally Online","","","0","0","","","99","0","15","","","","","","","","","","",""
"BIOI 4860 - BIOINFORMATICS ALGORITHMS"
,"4174","17076","Fall 2023","1238","UNO-BIOI","BIOI","4860","BIOI 4860","001","BIOINFORMATICS ALGORITHMS","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","Peter Kiewit Institute 261","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","8","10","","","0","0","25","Also BMI 8866-001","18","20","","0","0","30","","","",""
"BIOI 4970 - SENIOR PROJECT IN BIOINFORMATICS I"
,"253","14569","Fall 2023","1238","UNO-BIOI","BIOI","4970","BIOI 4970","820","SENIOR PROJECT IN BIOINFORMATICS I","","Research","","F 12pm-1pm","F 12pm-1pm","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","Remote Learning","Active","Regular Academic Session","UNO-IS","Distance Education","","Yes","No Special Consent Required","1","1","Graded","Remote Learning: Remote Learning","","","3","10","","","99","0","10","","","","","","","","","","This class will be taught remotely via synchronous teaching. Students will need to log in at the specified time but will not physically attend class.",""
"BMI 8000 - ADVANCES IN BIOMEDICAL INFORMATICS"
,"4612","17915","Fall 2023","1238","UNO-BMI","BMI","8000","BMI 8000","001","ADVANCES IN BIOMEDICAL INFORMATICS","","Seminar","","F 11am-12pm","F 11am-12pm","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","0","0","Satisfactory/Unsatisfactory","","","","13","30","","","0","0","30","","","","","","","","","","",""
"BMI 8100 - INTRODUCTION TO BIOMEDICAL INFORMATICS"
,"3303","14749","Fall 2023","1238","UNO-BMI","BMI","8100","BMI 8100","820","INTRODUCTION TO BIOMEDICAL INFORMATICS","","Lecture","","R 4:30pm-7:05pm","R 4:30pm-7:05pm","Clarke, Martina (55703786) [Primary Instructor, Post, Print]","Remote Learning","Active","Regular Academic Session","UNO-IS","Distance Education","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","12","25","","","99","0","25","","","","","","","","","","This class will be taught remotely via synchronous teaching. Students will need to log in at the specified time but will not physically attend class.",""
"BMI 8300 - PUBLIC HEALTH GENOMICS"
,"4176","17078","Fall 2023","1238","UNO-BMI","BMI","8300","BMI 8300","001","PUBLIC HEALTH GENOMICS","","Lecture","","W 6pm-8:40pm","W 6pm-8:40pm","Ghersi, Dario (74961526) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","8","15","","","99","0","15","","","","","","","","","PKI 161","",""
"BMI 8866 - BIOINFORMATICS ALGORITHMS"
,"4175","17077","Fall 2023","1238","UNO-BMI","BMI","8866","BMI 8866","001","BIOINFORMATICS ALGORITHMS","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","Peter Kiewit Institute 261","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","10","12","","","99","0","25","See BIOI 4860-001","18","20","","0","0","30","","","",""
"BMI 8900 - INDEPENDENT RESEARCH IN BIOMEDICAL INFORMATICS"
,"3348","14570","Fall 2023","1238","UNO-BMI","BMI","8900","BMI 8900","001","INDEPENDENT RESEARCH IN BIOMEDICAL INFORMATICS","","Research","","Does Not Meet","Does Not Meet","Hale, Matt (99058412) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Instructor Consent Required","1","3","Graded","","","","0","20","","","0","0","20","","","","","","","","","","",""
"BMI 8910 - INTERNSHIP"
,"3513","14571","Fall 2023","1238","UNO-BMI","BMI","8910","BMI 8910","001","INTERNSHIP","","Internship","","Does Not Meet","Does Not Meet","Hale, Matt (99058412) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","3","Graded","","","","0","30","","","0","0","20","","","","","","","","","","",""
,"3514","15487","Fall 2023","1238","UNO-BMI","BMI","8910","BMI 8910","850","INTERNSHIP","","Internship","","Does Not Meet","Does Not Meet","Hale, Matt (99058412) [Primary Instructor, Post, Print]","Totally Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","1","3","Graded","Online: Totally Online","","","0","30","","","99","0","15","","","","","","","","","","",""
"BMI 8970 - INDEPENDENT STUDY IN BIOINFORMATICS"
,"3302","14572","Fall 2023","1238","UNO-BMI","BMI","8970","BMI 8970","001","INDEPENDENT STUDY IN BIOINFORMATICS","","Independent Study","","Does Not Meet","Does Not Meet","Hale, Matt (99058412) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Department Consent Required","1","3","Graded","","","","0","20","","","0","0","20","","","","","","","","","","",""
"BMI 8990 - THESIS IN BIOMEDICAL INFORMATICS"
,"3305","14573","Fall 2023","1238","UNO-BMI","BMI","8990","BMI 8990","001","THESIS IN BIOMEDICAL INFORMATICS","","Master's Thesis","","Does Not Meet","Does Not Meet","Hale, Matt (99058412) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","6","Satisfactory/Unsatisfactory","","","","0","20","","","0","0","20","","","","","","","","","","",""
"BMI 9980 - INDEPENDENT RESEARCH IN BIOMEDICAL INFORMATICS"
,"3359","14574","Fall 2023","1238","UNO-BMI","BMI","9980","BMI 9980","001","INDEPENDENT RESEARCH IN BIOMEDICAL INFORMATICS","","Research","","Does Not Meet","Does Not Meet","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Instructor Consent Required","1","3","Graded","","","","0","20","","","0","0","20","","","","","","","","","","",""
"BMI 9990 - DISSERTATION"
,"3675","14575","Fall 2023","1238","UNO-BMI","BMI","9990","BMI 9990","001","DISSERTATION","","Dissertation","","Does Not Meet","Does Not Meet","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Instructor Consent Required","1","12","Satisfactory/Unsatisfactory","","","","4","20","","","0","0","20","","","","","","","","","","",""
"CIST 1010 - LEARN AND EARN: COLLEGE AND CAREER SUCCESS"
,"4066","16466","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","001","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","T 9:30am-10:20am","T 9:30am-10:20am","Monarrez Diaz-Kelsey, Judith (86796028) [Primary Instructor, Post, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","19","20","","","99","0","20","","","","","","","","","","",""
,"4067","16467","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","002","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","T 3:30pm-4:20pm","T 3:30pm-4:20pm","Majid, Farida (49094470) [Primary Instructor, Post, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","17","20","","","99","0","20","","","","","","","","","","",""
,"4068","16468","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","003","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","T 4:30pm-5:20pm","T 4:30pm-5:20pm","Dorn, Brian (77450871) [Primary Instructor, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","19","20","","","99","0","20","","","","","","","","","","",""
,"4069","16469","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","004","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","W 9:30am-10:20am","W 9:30am-10:20am","Wiemers, Emily (14673010) [Primary Instructor, Post, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","18","20","","","99","0","20","","","","","","","","","","",""
,"4070","16470","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","005","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","W 1:30pm-2:20pm","W 1:30pm-2:20pm","Torres, Javier (85786779) [Primary Instructor, Post, Print]; Dorn, Brian (77450871) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","20","20","","","99","0","20","","","","","","","","","","",""
,"4071","16800","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","006","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","R 8:30am-9:20am","R 8:30am-9:20am","Beck, Andrew (20728569) [Primary Instructor, Post, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","15","20","","","99","0","20","","","","","","","","","","",""
,"4072","16801","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","007","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","R 3:30pm-4:20pm","R 3:30pm-4:20pm","Beck, Andrew (20728569) [Primary Instructor, Post, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 157","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","Open Nebraska: No Cost Materials","","","18","20","","","99","0","20","","","","","","","","","","",""
,"5536","21571","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","008","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","T 1:30pm-2:20pm","T 1:30pm-2:20pm","Sherman, Alexis (12337364) [Primary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","19","20","","","99","0","20","","","","","","","","","","",""
,"5686","21705","Fall 2023","1238","UNO-DOIS","CIST","1010","CIST 1010","009","LEARN AND EARN: COLLEGE AND CAREER SUCCESS","","Seminar","","W 10:30am-11:20am","W 10:30am-11:20am","Heylmun, Carlee (30234462) [Primary Instructor, Post, Print]; Sherman, Alexis (12337364) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 155","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Satisfactory/Unsatisfactory","","","","14","20","","","99","0","20","","","","","","","","","","",""
"CIST 1300 - INTRODUCTION TO WEB DEVELOPMENT"
,"575","14577","Fall 2023","1238","UNO-DOIS","CIST","1300","CIST 1300","001","INTRODUCTION TO WEB DEVELOPMENT","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Caliskan, Erkan (94715212) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","35","","","99","0","30","","","","","","","","","","",""
,"576","14576","Fall 2023","1238","UNO-DOIS","CIST","1300","CIST 1300","002","INTRODUCTION TO WEB DEVELOPMENT","","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Saunders, Steve (80803140) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","49","50","","","99","0","50","","","","","","","","","","",""
,"577","14578","Fall 2023","1238","UNO-DOIS","CIST","1300","CIST 1300","820","INTRODUCTION TO WEB DEVELOPMENT","","Lecture","","Does Not Meet","Does Not Meet","Staff [Primary Instructor, Post, Print]","No Room Assigned","Cancelled Section","Regular Academic Session","UNO-IS","Distance Education","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","45","","","99","0","45","","","","","","","","","","This class will be taught remotely via synchronous teaching. Students will need to log in at the specified time but will not physically attend class.",""
,"578","14579","Fall 2023","1238","UNO-DOIS","CIST","1300","CIST 1300","850","INTRODUCTION TO WEB DEVELOPMENT","","Lecture","","Does Not Meet","Does Not Meet","Fulkerson, Robert (10509563) [Primary Instructor, Post, Print]","Totally Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Online: Totally Online","","","59","60","","","99","0","99","","","","","","","","","","",""
"CIST 1400 - INTRODUCTION TO COMPUTER SCIENCE I"
,"2991","15526","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","001","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","TR 3pm-4:15pm","TR 3pm-4:15pm","Reestman, Kyle (19654542) [Primary Instructor, Post, Print]; Fulkerson, Robert (10509563) [Secondary Instructor, Post, No Print]","Mammel Hall 113","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","67","70","","","99","0","70","","","","","","","","","","",""
,"2992","14581","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","002","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","MW 9am-10:15am","MW 9am-10:15am","Fulkerson, Robert (10509563) [Primary Instructor, Post, Print]","Mammel Hall 113","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","40","70","","","99","0","70","","","","","","","","","","",""
,"2993","15542","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","003","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","TR 6pm-7:15pm","TR 6pm-7:15pm","Reestman, Kyle (19654542) [Primary Instructor, Post, Print]; Fulkerson, Robert (10509563) [Secondary Instructor, Post, No Print]","Peter Kiewit Institute 263","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","26","35","","","99","0","35","","","","","","","","","","",""
,"2994","16533","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","601","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Parkison, Daniel (67084275) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Bellevue West High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","2","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"2995","16534","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","602","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Pacer, Thomas (61129184) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Creighton Prep High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","13","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"2996","16535","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","603","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Genoways, Sharon (37371716) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Marian High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","4","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"2997","16536","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","604","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Gudino, Dario (92353062) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Bryan High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","6","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"2998","16537","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","605","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Davidson, Duncan (75536298) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Central High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","3","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"2999","16538","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","606","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Henderson, Randall (18386235) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","North High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","1","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"3000","16539","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","607","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 12/15/2023)","Davidson, Duncan (75536298) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","South High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","3","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"3001","16540","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","608","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Lodes, Julie (03247341) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Platteview High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","1","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"3002","16895","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","609","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet","Niebur, Nichole (43469005) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Univ of Nebraska High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","","","","","","","","CIST 1400-692","","",""
,"6207","22195","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","610","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Davidson, Duncan (75536298) [Primary Instructor, Post, Print]; Malone, Kelly (11331658) [Course Administrator, Post, Print]","Burke High School","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","No Special Consent Required","3","3","Graded","","","","6","30","","","0","0","30","","","","","","","","CIST 1400-691","","",""
,"3003","16541","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","691","INTRODUCTION TO COMPUTER SCIENCE I","","Laboratory","Laboratory","Does Not Meet","Does Not Meet (08/21/2023 to 05/17/2024)","Staff [Primary Instructor, Post, Print]","No Room Assigned","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","39","75","","","0","0","30","","","","","","","","","","",""
,"3004","16542","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","692","INTRODUCTION TO COMPUTER SCIENCE I","","Laboratory","Laboratory","Does Not Meet","Does Not Meet","Staff [Primary Instructor, Post, Print]","No Room Assigned","Active","Regular Academic Session","UNO-IS","Dual Enrollment","","No","Instructor Consent Required","3","3","Graded","","","","0","30","","","0","0","30","","","","","","","","","","",""
,"3005","14582","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","850","INTRODUCTION TO COMPUTER SCIENCE I","","Lecture","Lecture","Does Not Meet","Does Not Meet","Fulkerson, Robert (10509563) [Primary Instructor, Post, Print]","Totally Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Online: Totally Online","","","47","40","","","99","0","40","","","","","","","","","","",""
,"3006","16379","Fall 2023","1238","UNO-DOIS","CIST","1400","CIST 1400","861","INTRODUCTION TO COMPUTER SCIENCE I","","Laboratory","","Does Not Meet","Does Not Meet; Does Not Meet","Fulkerson, Robert (10509563) [Primary Instructor, Post, No Print]; Fulkerson, Robert (10509563) [Primary Instructor, Post, No Print]","To Be Announced; Partially Online","Active","Regular Academic Session","UNO-IS","Partially Online","","Yes","No Special Consent Required","3","3","Graded","Partially Online: Partially Online","","","180","250","","","99","0","250","","","","","","","","Any","","Lab times will be scheduled during the first week of the semester based on student availability. Labs will meet for 90 minutes each week either on campus or via Zoom.",""
"CIST 1600 - INTRODUCTION TO PROGRAMMING USING PRACTICAL SCRIPTING"
,"3955","16496","Fall 2023","1238","UNO-DOIS","CIST","1600","CIST 1600","001","INTRODUCTION TO PROGRAMMING USING PRACTICAL SCRIPTING","","Lecture/Lab (combo)","","MW 10:30am-11:45am","MW 10:30am-11:45am","Babb, Derek (17848255) [Primary Instructor, Post, Print]","Peter Kiewit Institute 361","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","35","35","","","99","0","35","","","","","","","","","","",""
,"3954","15689","Fall 2023","1238","UNO-DOIS","CIST","1600","CIST 1600","850","INTRODUCTION TO PROGRAMMING USING PRACTICAL SCRIPTING","","Lecture/Lab (combo)","","Does Not Meet","Does Not Meet","Babb, Derek (17848255) [Primary Instructor, Post, Print]","Totally Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Online: Totally Online","","","35","35","","","99","0","40","","","","","","","","","","",""
"CIST 2100 - ORGANIZATIONS, APPLICATIONS AND TECHNOLOGY"
